Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-05-04,16:19:13,04:34:40,100.5,262.9,22:52:57,68.7,385332,98.3%,waxinggibbous,,202.6
2023-05-05,16:50:09,05:35:21,107.4,255.7,23:40:18,74.5,380936,100.0%,waxinggibbous,,179.2
2023-05-06,17:25:43,06:39:16,113.6,249.0,,,,,fullmoon,04:04:02,
2023-05-07,18:07:49,07:46:21,118.7,243.3,00:31:55,79.6,377042,99.1%,waninggibbous,,24.2
2023-05-08,18:58:07,08:55:03,122.1,239.1,01:28:14,83.5,373870,95.6%,waninggibbous,,15.4
2023-05-09,19:57:07,10:02:13,123.3,236.9,02:28:41,85.9,371540,89.5%,waninggibbous,,7.4
2023-05-10,21:03:17,11:04:07,122.0,237.2,03:31:19,86.2,370073,81.1%,waninggibbous,,359.3
2023-05-11,22:13:14,11:58:11,118.3,239.9,04:33:25,84.5,369408,70.8%,waninggibbous,,351.6
2023-05-12,23:23:29,12:44:05,112.8,244.7,05:32:38,81.0,369442,59.4%,waninggibbous,,344.9
2023-05-13,,13:23:06,,250.9,06:27:49,76.1,370071,47.5%,thirdquarter,00:58:17,339.8
2023-05-14,00:31:55,13:57:11,106.0,258.0,07:19:10,70.1,371226,35.8%,waningcrescent,,336.4
2023-05-15,01:38:00,14:28:16,98.4,265.7,08:07:35,63.5,372880,25.0%,waningcrescent,,334.6
2023-05-16,02:42:18,14:58:03,90.4,273.4,08:54:22,56.7,375038,15.7%,waningcrescent,,334.7
2023-05-17,03:45:47,15:28:09,82.6,281.0,09:40:50,50.1,377715,8.3%,waningcrescent,,336.6
2023-05-18,04:49:20,16:00:00,75.1,287.9,10:28:09,43.9,380903,3.1%,waningcrescent,,341.4
2023-05-19,05:53:24,16:35:04,68.5,294.0,11:17:12,38.5,384539,0.5%,waningcrescent,,355.1
2023-05-20,06:57:37,17:14:36,63.0,298.8,12:08:23,34.3,388490,0.2%,newmoon,02:23:18,140.9
2023-05-21,08:00:38,17:59:29,59.1,302.0,13:01:29,31.3,392545,2.3%,waxingcrescent,,162.8
2023-05-22,09:00:22,18:49:45,57.0,303.3,13:55:30,29.9,396433,6.5%,waxingcrescent,,172.3
2023-05-23,09:54:44,19:44:23,56.7,302.8,14:49:01,30.0,399849,12.4%,waxingcrescent,,180.1
2023-05-24,10:42:32,20:41:34,58.3,300.6,15:40:38,31.6,402491,19.8%,waxingcrescent,,187.0
2023-05-25,11:23:44,21:39:25,61.4,296.9,16:29:29,34.4,404099,28.2%,waxingcrescent,,192.8
2023-05-26,11:59:16,22:36:41,65.7,292.1,17:15:22,38.2,404481,37.4%,waxingcrescent,,197.5
2023-05-27,12:30:25,23:32:55,71.0,286.4,17:58:40,42.8,403531,47.0%,waxingcrescent,,201.1
2023-05-28,12:58:34,,77.0,,18:40:09,48.1,401247,56.8%,firstquarter,01:52:15,203.4
2023-05-29,13:25:02,00:28:23,83.5,280.0,19:20:50,53.8,397735,66.5%,waxinggibbous,,204.6
2023-05-30,13:51:06,01:23:52,90.4,273.1,20:01:52,59.9,393209,75.8%,waxinggibbous,,204.4
2023-05-31,14:18:03,02:20:27,97.4,266.1,20:44:29,66.0,387984,84.1%,waxinggibbous,,202.7
2023-06-01,14:47:20,03:19:18,104.3,258.9,21:30:02,71.9,382456,91.2%,waxinggibbous,,199.0
2023-06-02,15:20:41,04:21:31,110.9,252.0,22:19:47,77.4,377074,96.5%,waxinggibbous,,192.0
2023-06-03,16:00:05,05:27:35,116.6,245.7,23:14:42,82.0,372291,99.4%,waxinggibbous,,173.1
2023-06-04,16:47:37,06:36:49,120.8,240.7,,,,,fullmoon,14:11:46,
2023-06-05,17:44:36,07:46:36,123.0,237.6,00:14:46,85.1,368506,99.7%,waninggibbous,,38.3
2023-06-06,18:50:16,08:52:47,122.6,236.9,01:18:31,86.3,366007,96.9%,waninggibbous,,10.5
2023-06-07,20:01:23,09:51:38,119.7,238.8,02:23:03,85.3,364917,91.3%,waninggibbous,,358.8
2023-06-08,21:13:40,10:41:36,114.6,243.0,03:25:14,82.3,365185,83.2%,waninggibbous,,350.2
2023-06-09,22:24:00,11:23:33,108.0,249.0,04:23:08,77.7,366618,73.1%,waninggibbous,,343.7
2023-06-10,23:31:17,11:59:25,100.6,255.9,05:16:23,71.8,368947,61.8%,waninggibbous,,339.3
2023-06-11,,12:31:20,,263.5,06:05:50,65.4,371893,50.1%,thirdquarter,06:01:23,336.8
2023-06-12,00:35:52,13:01:12,92.7,271.2,06:52:47,58.6,375217,38.6%,waningcrescent,,336.0
2023-06-13,01:38:49,13:30:41,84.9,278.7,07:38:40,52.0,378742,27.8%,waningcrescent,,337.0
2023-06-14,02:41:13,14:01:19,77.4,285.8,08:24:49,45.8,382355,18.4%,waningcrescent,,339.7
2023-06-15,03:43:54,14:34:35,70.6,292.0,09:12:20,40.2,385987,10.8%,waningcrescent,,344.4
2023-06-16,04:46:59,15:11:51,64.8,297.2,10:01:55,35.6,389594,5.0%,waningcrescent,,351.8
2023-06-17,05:49:40,15:54:16,60.4,300.9,10:53:41,32.3,393119,1.5%,waningcrescent,,5.2
2023-06-18,06:50:12,16:42:16,57.6,303.0,11:47:01,30.3,396480,0.1%,newmoon,15:07:10,65.9
2023-06-19,07:46:26,17:35:19,56.7,303.2,12:40:41,29.9,399550,1.0%,waxingcrescent,,159.5
2023-06-20,08:36:40,18:31:48,57.6,301.5,13:33:07,30.9,402159,3.8%,waxingcrescent,,176.8
2023-06-21,09:20:19,19:29:42,60.2,298.3,14:23:08,33.3,404114,8.4%,waxingcrescent,,186.1
2023-06-22,09:57:51,20:27:19,64.1,293.9,15:10:09,36.8,405213,14.6%,waxingcrescent,,192.6
2023-06-23,10:30:26,21:23:46,69.1,288.5,15:54:15,41.1,405274,22.2%,waxingcrescent,,197.4
2023-06-24,10:59:23,22:19:02,74.8,282.3,16:36:02,46.2,404157,30.7%,waxingcrescent,,200.7
2023-06-25,11:26:03,23:13:40,81.1,275.8,17:16:24,51.7,401790,40.1%,waxingcrescent,,202.7
2023-06-26,11:51:42,,87.7,,17:56:27,57.5,398188,50.0%,firstquarter,18:19:44,203.4
2023-06-27,12:17:35,00:08:39,94.5,268.9,18:37:24,63.5,393469,60.1%,waxinggibbous,,202.8
2023-06-28,12:45:05,01:05:11,101.4,261.9,19:20:34,69.4,387867,70.1%,waxinggibbous,,200.7
2023-06-29,13:15:46,02:04:30,108.0,254.9,20:07:22,75.0,381734,79.5%,waxinggibbous,,196.9
2023-06-30,13:51:35,03:07:37,114.1,248.5,20:59:05,80.0,375527,87.8%,waxinggibbous,,190.9
2023-07-01,14:34:46,04:14:44,119.0,242.9,21:56:29,83.8,369775,94.3%,waxinggibbous,,181.7
2023-07-02,15:27:23,05:24:28,122.2,238.8,22:59:08,85.9,365023,98.5%,waxinggibbous,,164.5
2023-07-03,16:30:10,06:33:25,123.1,236.9,,,,,fullmoon,22:08:44,
2023-07-04,17:41:03,07:37:07,121.2,237.7,00:04:46,86.0,361742,99.8%,waninggibbous,,71.4
2023-07-05,18:55:38,08:32:27,116.8,241.1,01:10:00,83.8,360237,97.9%,waninggibbous,,5.3
2023-07-06,20:09:30,09:18:58,110.5,246.6,02:11:46,79.6,360578,92.9%,waninggibbous,,351.1
2023-07-07,21:20:15,09:58:13,103.1,253.5,03:08:42,74.0,362600,85.3%,waninggibbous,,343.6
2023-07-08,22:27:31,10:32:20,95.1,261.1,04:01:02,67.5,365972,75.6%,waninggibbous,,339.3
2023-07-09,23:32:09,11:03:28,87.0,269.0,04:49:56,60.6,370275,64.6%,waninggibbous,,337.4
2023-07-10,,11:33:24,,276.7,05:36:51,53.8,375088,53.2%,thirdquarter,12:17:53,337.3
2023-07-11,00:35:17,12:03:47,79.4,284.0,06:23:13,47.4,380045,41.9%,waningcrescent,,339.0
2023-07-12,01:37:57,12:36:08,72.3,290.5,07:10:16,41.6,384865,31.3%,waningcrescent,,342.3
2023-07-13,02:40:37,13:11:53,66.3,295.9,07:58:54,36.8,389359,21.8%,waningcrescent,,347.2
2023-07-14,03:42:55,13:52:18,61.5,300.1,08:49:33,33.1,393417,13.8%,waningcrescent,,353.7
2023-07-15,04:43:36,14:38:08,58.2,302.6,09:41:56,30.7,396985,7.5%,waningcrescent,,2.1
2023-07-16,05:40:45,15:29:17,56.8,303.3,10:35:07,29.8,400035,3.1%,waningcrescent,,13.8
2023-07-17,06:32:33,16:24:34,57.1,302.2,11:27:43,30.4,402543,0.7%,waningcrescent,,37.7
2023-07-18,07:18:03,17:22:05,59.2,299.5,12:18:25,32.4,404469,0.3%,newmoon,05:01:51,136.0
2023-07-19,07:57:21,18:19:54,62.7,295.4,13:06:21,35.5,405746,1.8%,waxingcrescent,,178.3
2023-07-20,08:31:21,19:16:48,67.4,290.3,13:51:20,39.7,406280,5.2%,waxingcrescent,,190.3
2023-07-21,09:01:15,20:12:19,72.9,284.3,14:33:43,44.5,405958,10.3%,waxingcrescent,,196.5
2023-07-22,09:28:22,21:06:47,79.0,277.9,15:14:14,49.9,404670,16.9%,waxingcrescent,,200.1
2023-07-23,09:53:56,22:00:56,85.5,271.2,15:53:51,55.6,402324,24.8%,waxingcrescent,,202.0
2023-07-24,10:19:09,22:55:49,92.2,264.3,16:33:40,61.5,398876,33.8%,waxingcrescent,,202.4
2023-07-25,10:45:17,23:52:37,99.0,257.4,17:14:54,67.3,394357,43.7%,waxingcrescent,,201.4
2023-07-26,11:13:42,,105.6,,17:58:53,73.0,388896,54.1%,firstquarter,08:36:47,199.0
2023-07-27,11:46:08,00:52:27,111.8,250.9,18:46:57,78.1,382737,64.7%,waxinggibbous,,194.9
2023-07-28,12:24:38,01:56:03,117.1,245.0,19:40:16,82.4,376255,75.0%,waxinggibbous,,189.0
2023-07-29,13:11:30,03:03:03,121.1,240.3,20:39:14,85.3,369947,84.3%,waxinggibbous,,181.1
2023-07-30,14:08:29,04:11:26,123.1,237.4,21:42:51,86.3,364392,92.1%,waxinggibbous,,170.9
2023-07-31,15:15:27,05:17:23,122.6,236.9,22:48:30,85.2,360175,97.4%,waxinggibbous,,156.3
2023-08-01,16:29:20,06:16:59,119.3,239.1,23:52:50,81.9,357770,99.7%,waxinggibbous,,107.2
2023-08-02,17:45:25,07:08:14,113.7,243.7,,,,,fullmoon,05:01:40,
2023-08-03,18:59:54,07:51:35,106.5,250.2,00:53:23,76.8,357433,98.8%,waninggibbous,,1.7
2023-08-04,20:11:07,08:28:49,98.3,257.8,01:49:22,70.4,359151,94.6%,waninggibbous,,345.6
2023-08-05,21:19:10,09:02:05,90.0,265.9,02:41:22,63.3,362662,87.6%,waninggibbous,,339.9
