Date,Rise,Set,RiseAzimuth,SetAzimuth,Meridian,Altitude,Distance,Illuminated,Phase,PhaseTime,PosAngle
2023-06-05,00:14:58,03:49:10,157.0,202.1,02:04:07,2.0,367309,98.9%,waninggibbous,,201.4
2023-06-06,01:29:35,04:49:53,159.2,201.3,03:08:35,1.7,365386,95.0%,waninggibbous,,185.0
2023-06-07,02:02:04,06:31:17,152.3,209.6,04:12:29,3.4,364872,88.2%,waninggibbous,,174.9
2023-06-08,02:14:08,08:25:10,141.1,222.1,05:13:03,6.9,365649,79.2%,waninggibbous,,167.2
2023-06-09,02:19:01,10:15:43,128.5,235.8,06:08:59,12.0,367486,68.6%,waninggibbous,,161.6
2023-06-10,02:21:01,11:59:29,115.5,249.8,07:00:32,18.1,370101,57.0%,thirdquarter,21:31:23,158.0
2023-06-11,02:21:47,13:37:37,102.4,263.7,07:48:47,24.6,373229,45.3%,waningcrescent,,156.2
2023-06-12,02:22:05,15:12:34,89.5,277.3,08:35:07,31.3,376653,34.0%,waningcrescent,,156.2
2023-06-13,02:22:23,16:46:54,76.8,290.7,09:20:58,37.8,380225,23.8%,waningcrescent,,157.9
2023-06-14,02:23:10,18:22:36,64.4,303.6,10:07:34,43.8,383852,15.1%,waningcrescent,,161.4
2023-06-15,02:25:04,20:00:20,52.5,315.8,10:55:52,49.0,387479,8.1%,waningcrescent,,167.0
2023-06-16,02:29:18,21:38:06,41.3,326.7,11:46:23,53.1,391060,3.3%,waningcrescent,,176.1
2023-06-17,02:38:28,23:08:27,31.4,335.1,12:38:55,56.0,394531,0.7%,waningcrescent,,196.7
2023-06-18,02:58:55,,24.0,,13:32:34,57.3,397789,0.2%,newmoon,06:37:10,307.6
2023-06-19,03:42:48,00:16:28,21.9,338.2,14:25:54,57.2,400692,1.9%,waxingcrescent,,348.6
2023-06-20,04:55:18,00:53:26,26.3,334.8,15:17:28,55.6,403056,5.5%,waxingcrescent,,1.1
2023-06-21,06:22:54,01:09:59,34.8,327.1,16:06:16,52.7,404682,10.8%,waxingcrescent,,9.0
2023-06-22,07:52:57,01:17:23,45.1,317.6,16:52:02,48.8,405373,17.6%,waxingcrescent,,14.8
2023-06-23,09:20:40,01:20:43,56.2,307.4,17:35:05,44.1,404962,25.6%,waxingcrescent,,18.9
2023-06-24,10:45:20,01:22:05,67.6,296.7,18:16:10,38.9,403335,34.5%,waxingcrescent,,21.7
2023-06-25,12:08:06,01:22:26,79.2,285.7,18:56:16,33.2,400451,44.1%,waxingcrescent,,23.1
2023-06-26,13:30:50,01:22:18,91.2,274.6,19:36:32,27.3,396368,54.1%,firstquarter,09:49:43,23.3
